i:  13800, t:    41399.1 s (0.93 periods), wall: 29.964 minutes, Δt:   2.76, CFL: 7.20e-01
i:  13900, t:    41696.6 s (0.93 periods), wall: 30.179 minutes, Δt:   2.98, CFL: 7.20e-01
i:  14000, t:    41993.1 s (0.94 periods), wall: 30.396 minutes, Δt:   2.90, CFL: 7.20e-01
i:  14100, t:    42339.2 s (0.95 periods), wall: 30.611 minutes, Δt:   3.44, CFL: 7.20e-01
i:  14200, t:    42722.1 s (0.96 periods), wall: 30.828 minutes, Δt:   4.11, CFL: 7.20e-01
i:  14300, t:    43176.3 s (0.97 periods), wall: 31.044 minutes, Δt:   5.29, CFL: 7.20e-01
i:  14400, t:    43770.9 s (0.98 periods), wall: 31.263 minutes, Δt:   6.20, CFL: 7.20e-01
i:  14500, t:    44297.5 s (0.99 periods), wall: 31.480 minutes, Δt:   4.84, CFL: 7.20e-01
i:  14600, t:    44820.8 s (1.00 periods), wall: 31.710 minutes, Δt:   7.10, CFL: 7.20e-01
i:  14700, t:    45505.8 s (1.02 periods), wall: 31.928 minutes, Δt:   6.82, CFL: 7.20e-01
i:  14800, t:    46129.9 s (1.03 periods), wall: 32.147 minutes, Δt:   6.02, CFL: 7.20e-01
i:  14900, t:    46749.0 s (1.05 periods), wall: 32.364 minutes, Δt:   6.71, CFL: 7.20e-01
i:  15000, t:    47366.4 s (1.06 periods), wall: 32.582 minutes, Δt:   5.83, CFL: 7.20e-01
i:  15100, t:    47947.5 s (1.07 periods), wall: 32.793 minutes, Δt:   6.06, CFL: 7.20e-01
i:  15200, t:    48499.1 s (1.09 periods), wall: 33.011 minutes, Δt:   5.58, CFL: 7.20e-01
i:  15300, t:    49041.5 s (1.10 periods), wall: 33.226 minutes, Δt:   5.16, CFL: 7.20e-01
i:  15400, t:    49518.2 s (1.11 periods), wall: 33.442 minutes, Δt:   4.71, CFL: 7.20e-01
i:  15500, t:    50001.6 s (1.12 periods), wall: 33.658 minutes, Δt:   4.79, CFL: 7.20e-01
i:  15600, t:    50447.5 s (1.13 periods), wall: 33.873 minutes, Δt:   4.34, CFL: 7.20e-01
i:  15700, t:    50880.7 s (1.14 periods), wall: 34.087 minutes, Δt:   3.81, CFL: 7.20e-01
i:  15800, t:    51204.1 s (1.15 periods), wall: 34.303 minutes, Δt:   2.72, CFL: 7.20e-01
i:  15900, t:    51418.4 s (1.15 periods), wall: 34.518 minutes, Δt:   1.99, CFL: 7.20e-01
i:  16000, t:    51618.9 s (1.16 periods), wall: 34.732 minutes, Δt:   1.94, CFL: 7.20e-01
i:  16100, t:    51810.9 s (1.16 periods), wall: 34.946 minutes, Δt:   1.65, CFL: 7.20e-01
i:  16200, t:    51968.7 s (1.16 periods), wall: 35.159 minutes, Δt:   1.73, CFL: 7.20e-01
