
==============================================================================
==== 2026-09-10 23:50:55  P4_T10_r0.2  (r = 0.2, T = 10.0)
==============================================================================
ekmanrun.jl case P4_T10_r0.2
  architecture      GPU
  dimensions        75.0 m x 75.0 m x 150.0 m  (+ 20 m sponge, H = 170 m)
  grid              100 x 100 x 400   (first centre at z = 0.1182 m)
  U∞  = 0.0400   f₀ = 1.00e-04   r = N/f = 0.2   N² = 4.000e-10
  profile 4 (softplus), T = 10.0 m, sharp = 6.0
  cᴰ  = 0.00908   ν₀ = 1.0e-06   κ₀ = 1.0e-07   Pr = 10
  duration 1.600e+06 s = 25.46 inertial periods, max Δt = 15 s
  moments every 314 s, x-z slices off, Avg_* writers ON
i:   14900, sim time:    141330 (2.25 T_f), wall: 10.760 minutes, Δt:   9.69, CFL: 9.00e-01
i:   15000, sim time:    142230 (2.26 T_f), wall: 10.900 minutes, Δt:   9.85, CFL: 9.00e-01
i:   15100, sim time:    143139 (2.28 T_f), wall: 10.955 minutes, Δt:   9.85, CFL: 9.00e-01
i:   15200, sim time:    144049 (2.29 T_f), wall: 11.122 minutes, Δt:   9.86, CFL: 9.00e-01
i:   15300, sim time:    144977 (2.31 T_f), wall: 11.173 minutes, Δt:   9.64, CFL: 9.00e-01
i:   15400, sim time:    145881 (2.32 T_f), wall: 11.229 minutes, Δt:  10.03, CFL: 9.00e-01
i:   15500, sim time:    146820 (2.34 T_f), wall: 11.288 minutes, Δt:   9.96, CFL: 9.00e-01
i:   15600, sim time:    147781 (2.35 T_f), wall: 11.341 minutes, Δt:  10.31, CFL: 9.00e-01
i:   15700, sim time:    148750 (2.37 T_f), wall: 11.397 minutes, Δt:  10.15, CFL: 9.00e-01
i:   15800, sim time:    149658 (2.38 T_f), wall: 11.452 minutes, Δt:   9.68, CFL: 9.00e-01
i:   15900, sim time:    150561 (2.40 T_f), wall: 11.507 minutes, Δt:  10.44, CFL: 9.00e-01
i:   16000, sim time:    151520 (2.41 T_f), wall: 11.571 minutes, Δt:  10.08, CFL: 9.00e-01
i:   16100, sim time:    152481 (2.43 T_f), wall: 11.636 minutes, Δt:  10.20, CFL: 9.00e-01
i:   16200, sim time:    153430 (2.44 T_f), wall: 11.695 minutes, Δt:  10.02, CFL: 9.00e-01
i:   16300, sim time:    154410 (2.46 T_f), wall: 11.764 minutes, Δt:  10.19, CFL: 9.00e-01
i:   16400, sim time:    155382 (2.47 T_f), wall: 11.813 minutes, Δt:  10.39, CFL: 9.00e-01
i:   16500, sim time:    156330 (2.49 T_f), wall: 11.877 minutes, Δt:  10.03, CFL: 9.00e-01
i:   16600, sim time:    157268 (2.50 T_f), wall: 11.931 minutes, Δt:   9.65, CFL: 9.00e-01
i:   16700, sim time:    158178 (2.52 T_f), wall: 11.988 minutes, Δt:   9.84, CFL: 9.00e-01
i:   16800, sim time:    159098 (2.53 T_f), wall: 12.052 minutes, Δt:   9.64, CFL: 9.00e-01
i:   16900, sim time:    159995 (2.55 T_f), wall: 12.110 minutes, Δt:   9.58, CFL: 9.00e-01
i:   17000, sim time:    160900 (2.56 T_f), wall: 12.163 minutes, Δt:  10.31, CFL: 9.00e-01
i:   17100, sim time:    161810 (2.58 T_f), wall: 12.222 minutes, Δt:  10.09, CFL: 9.00e-01
i:   17200, sim time:    162770 (2.59 T_f), wall: 12.276 minutes, Δt:   9.91, CFL: 9.00e-01
i:   17300, sim time:    163719 (2.61 T_f), wall: 12.335 minutes, Δt:   9.76, CFL: 9.00e-01
i:   17400, sim time:    164630 (2.62 T_f), wall: 12.397 minutes, Δt:  10.20, CFL: 9.00e-01
i:   17500, sim time:    165610 (2.64 T_f), wall: 12.457 minutes, Δt:  10.17, CFL: 9.00e-01
i:   17600, sim time:    166596 (2.65 T_f), wall: 12.508 minutes, Δt:   9.53, CFL: 9.00e-01
i:   17700, sim time:    167489 (2.67 T_f), wall: 12.570 minutes, Δt:   9.85, CFL: 9.00e-01
i:   17800, sim time:    168349 (2.68 T_f), wall: 12.630 minutes, Δt:   9.19, CFL: 9.00e-01
i:   17900, sim time:    169276 (2.69 T_f), wall: 12.688 minutes, Δt:   9.89, CFL: 9.00e-01
i:   18000, sim time:    170198 (2.71 T_f), wall: 12.747 minutes, Δt:  10.22, CFL: 9.00e-01
i:   18100, sim time:    171120 (2.72 T_f), wall: 12.804 minutes, Δt:  10.39, CFL: 9.00e-01
i:   18200, sim time:    172028 (2.74 T_f), wall: 12.866 minutes, Δt:   9.73, CFL: 9.00e-01
i:   18300, sim time:    173000 (2.75 T_f), wall: 12.924 minutes, Δt:  10.37, CFL: 9.00e-01
i:   18400, sim time:    173910 (2.77 T_f), wall: 12.981 minutes, Δt:   9.90, CFL: 9.00e-01
i:   18500, sim time:    174870 (2.78 T_f), wall: 13.036 minutes, Δt:   9.76, CFL: 9.00e-01
i:   18600, sim time:    175745 (2.80 T_f), wall: 13.097 minutes, Δt:   8.92, CFL: 9.00e-01
i:   18700, sim time:    176619 (2.81 T_f), wall: 13.162 minutes, Δt:   9.51, CFL: 9.00e-01
i:   18800, sim time:    177538 (2.83 T_f), wall: 13.218 minutes, Δt:   9.58, CFL: 9.00e-01
i:   18900, sim time:    178428 (2.84 T_f), wall: 13.272 minutes, Δt:   9.25, CFL: 9.00e-01
i:   19000, sim time:    179319 (2.85 T_f), wall: 13.358 minutes, Δt:   9.44, CFL: 9.00e-01
i:   19100, sim time:    180219 (2.87 T_f), wall: 13.408 minutes, Δt:   9.64, CFL: 9.00e-01
i:   19200, sim time:    181120 (2.88 T_f), wall: 14.108 minutes, Δt:  10.08, CFL: 9.00e-01
i:   19300, sim time:    182019 (2.90 T_f), wall: 14.160 minutes, Δt:   9.83, CFL: 9.00e-01
i:   19400, sim time:    182909 (2.91 T_f), wall: 14.212 minutes, Δt:   9.19, CFL: 9.00e-01
i:   19500, sim time:    183800 (2.93 T_f), wall: 14.265 minutes, Δt:   9.68, CFL: 9.00e-01
i:   19600, sim time:    184710 (2.94 T_f), wall: 14.324 minutes, Δt:   9.83, CFL: 9.00e-01
i:   19700, sim time:    185610 (2.95 T_f), wall: 14.384 minutes, Δt:   9.80, CFL: 9.00e-01
i:   19800, sim time:    186509 (2.97 T_f), wall: 14.442 minutes, Δt:   9.49, CFL: 9.00e-01
i:   19900, sim time:    187410 (2.98 T_f), wall: 14.495 minutes, Δt:   9.50, CFL: 9.00e-01
i:   20000, sim time:    188321 (3.00 T_f), wall: 14.547 minutes, Δt:  10.07, CFL: 9.00e-01
i:   20100, sim time:    189262 (3.01 T_f), wall: 14.608 minutes, Δt:  10.30, CFL: 9.00e-01
i:   20200, sim time:    190160 (3.03 T_f), wall: 14.661 minutes, Δt:   9.94, CFL: 9.00e-01
i:   20300, sim time:    191067 (3.04 T_f), wall: 14.726 minutes, Δt:   9.98, CFL: 9.00e-01
i:   20400, sim time:    191979 (3.06 T_f), wall: 14.781 minutes, Δt:  10.05, CFL: 9.00e-01
