
==============================================================================
==== 2026-08-18 12:44:12  Ekman3D.jl
==== MOMENTS=1  PLOTS=0  R=1  SHARP=6  T_STRAT=20
==============================================================================
Dimensions                      75.0 m × 75.0 m × 100.0 m
Grid size                       100 × 100 × 500
Far stream velocity             U∞  = 0.0400
Square buoyancy frequency:      N²  = 1.00e-08,
Coriolis parameter:             f   = 1.00e-04,
Ratio:                          r   = N/f = 1.0
i:  24100, sim time:  167750.549326, wall time: 48.048 minutes, Δt:  7.271782, CFL: 9.00e-01
i:  24200, sim time:  168445.000000, wall time: 48.245 minutes, Δt:  7.500000, CFL: 8.91e-01
i:  24300, sim time:  169121.961503, wall time: 48.439 minutes, Δt:  7.394763, CFL: 9.00e-01
i:  24400, sim time:  169814.243326, wall time: 48.634 minutes, Δt:  6.936227, CFL: 9.00e-01
i:  24500, sim time:  170507.500000, wall time: 48.828 minutes, Δt:  7.500000, CFL: 8.95e-01
i:  24600, sim time:  171207.477889, wall time: 49.023 minutes, Δt:  7.323279, CFL: 9.00e-01
i:  24700, sim time:  171897.618151, wall time: 49.218 minutes, Δt:  7.500000, CFL: 8.91e-01
i:  24800, sim time:  172597.101614, wall time: 49.412 minutes, Δt:  7.202099, CFL: 9.00e-01
i:  24900, sim time:  173271.474268, wall time: 49.606 minutes, Δt:  6.919753, CFL: 9.00e-01
i:  25000, sim time:  173952.500000, wall time: 49.801 minutes, Δt:  7.500000, CFL: 8.77e-01
i:  25100, sim time:  174652.789676, wall time: 49.996 minutes, Δt:  6.813621, CFL: 9.00e-01
i:  25200, sim time:  175328.376086, wall time: 50.192 minutes, Δt:  7.169224, CFL: 9.00e-01
