================ Case Ri0 : simulation ================
i:  12700, t:    71909.1 s (1.61 periods), wall: 1.612 hours, Δt:   5.50, CFL: 7.20e-01
i:  12800, t:    72454.2 s (1.62 periods), wall: 1.620 hours, Δt:   5.47, CFL: 7.20e-01
i:  12900, t:    72986.4 s (1.64 periods), wall: 1.627 hours, Δt:   5.30, CFL: 7.20e-01
i:  13000, t:    73498.6 s (1.65 periods), wall: 1.635 hours, Δt:   5.04, CFL: 7.20e-01
i:  13100, t:    73985.2 s (1.66 periods), wall: 1.643 hours, Δt:   4.80, CFL: 7.20e-01
i:  13200, t:    74458.2 s (1.67 periods), wall: 1.651 hours, Δt:   4.73, CFL: 7.20e-01
i:  13300, t:    74921.0 s (1.68 periods), wall: 1.658 hours, Δt:   4.57, CFL: 7.20e-01
i:  13400, t:    75359.5 s (1.69 periods), wall: 1.666 hours, Δt:   4.40, CFL: 7.20e-01
i:  13500, t:    75787.3 s (1.70 periods), wall: 1.674 hours, Δt:   4.25, CFL: 7.20e-01
i:  13600, t:    76215.8 s (1.71 periods), wall: 1.681 hours, Δt:   4.38, CFL: 7.20e-01
i:  13700, t:    76638.8 s (1.72 periods), wall: 1.689 hours, Δt:   4.33, CFL: 7.20e-01
i:  13800, t:    77062.9 s (1.73 periods), wall: 1.697 hours, Δt:   4.19, CFL: 7.20e-01
i:  13900, t:    77470.9 s (1.74 periods), wall: 1.705 hours, Δt:   4.10, CFL: 7.20e-01
i:  14000, t:    77886.8 s (1.74 periods), wall: 1.713 hours, Δt:   4.19, CFL: 7.20e-01
i:  14100, t:    78298.5 s (1.75 periods), wall: 1.720 hours, Δt:   4.20, CFL: 7.20e-01
i:  14200, t:    78713.6 s (1.76 periods), wall: 1.728 hours, Δt:   4.00, CFL: 7.20e-01
i:  14300, t:    79108.7 s (1.77 periods), wall: 1.736 hours, Δt:   4.09, CFL: 7.20e-01
i:  14400, t:    79497.2 s (1.78 periods), wall: 1.744 hours, Δt:   3.77, CFL: 7.20e-01
i:  14500, t:    79864.5 s (1.79 periods), wall: 1.752 hours, Δt:   3.53, CFL: 7.20e-01
i:  14600, t:    80218.1 s (1.80 periods), wall: 1.760 hours, Δt:   3.79, CFL: 7.20e-01
i:  14700, t:    80590.3 s (1.81 periods), wall: 1.768 hours, Δt:   3.82, CFL: 7.20e-01
i:  14800, t:    80976.5 s (1.81 periods), wall: 1.776 hours, Δt:   3.74, CFL: 7.20e-01
i:  14900, t:    81350.1 s (1.82 periods), wall: 1.784 hours, Δt:   4.04, CFL: 7.20e-01
i:  15000, t:    81734.2 s (1.83 periods), wall: 1.792 hours, Δt:   3.98, CFL: 7.20e-01
i:  15100, t:    82135.4 s (1.84 periods), wall: 1.800 hours, Δt:   3.97, CFL: 7.20e-01
i:  15200, t:    82534.3 s (1.85 periods), wall: 1.808 hours, Δt:   4.05, CFL: 7.20e-01
i:  15300, t:    82956.2 s (1.86 periods), wall: 1.816 hours, Δt:   4.39, CFL: 7.20e-01
i:  15400, t:    83367.1 s (1.87 periods), wall: 1.824 hours, Δt:   4.16, CFL: 7.20e-01
i:  15500, t:    83786.0 s (1.88 periods), wall: 1.832 hours, Δt:   4.39, CFL: 7.20e-01
i:  15600, t:    84218.0 s (1.89 periods), wall: 1.841 hours, Δt:   4.56, CFL: 7.20e-01
i:  15700, t:    84691.0 s (1.90 periods), wall: 1.849 hours, Δt:   4.54, CFL: 7.20e-01
i:  15800, t:    85134.4 s (1.91 periods), wall: 1.857 hours, Δt:   4.92, CFL: 7.20e-01
i:  15900, t:    85657.2 s (1.92 periods), wall: 1.866 hours, Δt:   5.43, CFL: 7.20e-01
i:  16000, t:    86241.5 s (1.93 periods), wall: 1.874 hours, Δt:   5.62, CFL: 7.20e-01
i:  16100, t:    86814.8 s (1.94 periods), wall: 1.883 hours, Δt:   6.42, CFL: 7.20e-01
i:  16200, t:    87464.5 s (1.96 periods), wall: 1.891 hours, Δt:   7.02, CFL: 7.20e-01
i:  16300, t:    88253.3 s (1.98 periods), wall: 1.899 hours, Δt:   8.10, CFL: 7.20e-01
i:  16400, t:    89056.8 s (1.99 periods), wall: 1.907 hours, Δt:   7.29, CFL: 7.20e-01
i:  16500, t:    89786.1 s (2.01 periods), wall: 1.915 hours, Δt:   7.46, CFL: 7.20e-01
i:  16600, t:    90502.3 s (2.03 periods), wall: 1.924 hours, Δt:   7.36, CFL: 7.20e-01
i:  16700, t:    91252.6 s (2.04 periods), wall: 1.933 hours, Δt:   7.48, CFL: 7.20e-01
i:  16800, t:    91965.4 s (2.06 periods), wall: 1.941 hours, Δt:   6.92, CFL: 7.20e-01
i:  16900, t:    92623.4 s (2.07 periods), wall: 1.949 hours, Δt:   6.33, CFL: 7.20e-01
i:  17000, t:    93233.5 s (2.09 periods), wall: 1.957 hours, Δt:   6.10, CFL: 7.20e-01
i:  17100, t:    93835.6 s (2.10 periods), wall: 1.965 hours, Δt:   6.07, CFL: 7.20e-01
i:  17200, t:    94419.3 s (2.12 periods), wall: 1.973 hours, Δt:   5.72, CFL: 7.20e-01
i:  17300, t:    94975.9 s (2.13 periods), wall: 1.981 hours, Δt:   5.46, CFL: 7.20e-01
i:  17400, t:    95505.7 s (2.14 periods), wall: 1.989 hours, Δt:   5.22, CFL: 7.20e-01
i:  17500, t:    96011.8 s (2.15 periods), wall: 1.997 hours, Δt:   5.07, CFL: 7.20e-01
i:  17600, t:    96500.8 s (2.16 periods), wall: 2.008 hours, Δt:   4.81, CFL: 7.20e-01
i:  17700, t:    96959.8 s (2.17 periods), wall: 2.017 hours, Δt:   4.56, CFL: 7.20e-01
i:  17800, t:    97406.2 s (2.18 periods), wall: 2.025 hours, Δt:   4.56, CFL: 7.20e-01
i:  17900, t:    97859.1 s (2.19 periods), wall: 2.033 hours, Δt:   4.61, CFL: 7.20e-01
i:  18000, t:    98307.6 s (2.20 periods), wall: 2.042 hours, Δt:   4.49, CFL: 7.20e-01
i:  18100, t:    98744.8 s (2.21 periods), wall: 2.050 hours, Δt:   4.25, CFL: 7.20e-01
i:  18200, t:    99154.2 s (2.22 periods), wall: 2.059 hours, Δt:   4.07, CFL: 7.20e-01
i:  18300, t:    99541.6 s (2.23 periods), wall: 2.067 hours, Δt:   3.84, CFL: 7.20e-01
i:  18400, t:    99907.7 s (2.24 periods), wall: 2.075 hours, Δt:   3.63, CFL: 7.20e-01
i:  18500, t:   100280.0 s (2.25 periods), wall: 2.084 hours, Δt:   3.61, CFL: 7.20e-01
i:  18600, t:   100643.9 s (2.25 periods), wall: 2.092 hours, Δt:   3.85, CFL: 7.20e-01
i:  18700, t:   101025.1 s (2.26 periods), wall: 2.101 hours, Δt:   3.87, CFL: 7.20e-01
i:  18800, t:   101394.6 s (2.27 periods), wall: 2.109 hours, Δt:   3.78, CFL: 7.20e-01
i:  18900, t:   101783.0 s (2.28 periods), wall: 2.117 hours, Δt:   3.65, CFL: 7.20e-01
i:  19000, t:   102141.2 s (2.29 periods), wall: 2.126 hours, Δt:   3.79, CFL: 7.20e-01
i:  19100, t:   102497.2 s (2.30 periods), wall: 2.135 hours, Δt:   3.46, CFL: 7.20e-01
i:  19200, t:   102859.6 s (2.30 periods), wall: 2.147 hours, Δt:   3.72, CFL: 7.20e-01
i:  19300, t:   103234.2 s (2.31 periods), wall: 2.156 hours, Δt:   3.69, CFL: 7.20e-01
i:  19400, t:   103602.1 s (2.32 periods), wall: 2.165 hours, Δt:   3.61, CFL: 7.20e-01
i:  19500, t:   103977.4 s (2.33 periods), wall: 2.175 hours, Δt:   3.88, CFL: 7.20e-01
i:  19600, t:   104358.2 s (2.34 periods), wall: 2.184 hours, Δt:   3.76, CFL: 7.20e-01
i:  19700, t:   104761.5 s (2.35 periods), wall: 2.194 hours, Δt:   4.17, CFL: 7.20e-01
i:  19800, t:   105168.6 s (2.36 periods), wall: 2.204 hours, Δt:   4.18, CFL: 7.20e-01
i:  19900, t:   105581.7 s (2.37 periods), wall: 2.212 hours, Δt:   4.04, CFL: 7.20e-01
i:  20000, t:   106012.1 s (2.37 periods), wall: 2.223 hours, Δt:   4.85, CFL: 7.20e-01
i:  20100, t:   106496.9 s (2.39 periods), wall: 2.235 hours, Δt:   5.06, CFL: 7.20e-01
i:  20200, t:   106964.2 s (2.40 periods), wall: 2.245 hours, Δt:   4.69, CFL: 7.20e-01
i:  20300, t:   107422.3 s (2.41 periods), wall: 2.255 hours, Δt:   5.08, CFL: 7.20e-01
i:  20400, t:   107961.7 s (2.42 periods), wall: 2.266 hours, Δt:   5.35, CFL: 7.20e-01
i:  20500, t:   108505.3 s (2.43 periods), wall: 2.275 hours, Δt:   6.15, CFL: 7.20e-01
i:  20600, t:   109159.1 s (2.45 periods), wall: 2.285 hours, Δt:   7.30, CFL: 7.20e-01
